,restaurante,seccion,platos,precios,platos_lower,seccion_lower,Categorias
32,Bosco de Lobos,Carne y Pescado,Streak Tartar con salsa de estragón y verduritas,18 €,streak tartar con salsa de estragón y verduritas,carne y pescado,Postres
33,Bosco de Lobos,Carne y Pescado,Pollo entero a la brasa con puré de patata y pico de gallo de cilantro y piñones,16 €,pollo entero a la brasa con puré de patata y pico de gallo de cilantro y piñones,carne y pescado,Pollo
34,Bosco de Lobos,Carne y Pescado,Bonito con cremoso de patata y setas,16 €,bonito con cremoso de patata y setas,carne y pescado,Pescado
35,Bosco de Lobos,Carne y Pescado,Merluza al horno con gratén de hinojo,16 €,merluza al horno con gratén de hinojo,carne y pescado,Pescado
0,Dionisos,Entrante,Pikilia: surtido de tapas griegas,"8,15 €",pikilia: surtido de tapas griegas,entrante,Entrantes
1,Dionisos,Entrante,Risotto aegiopelagitiko: arroz con marisco al estilo de las islas,"8,91 €",risotto aegiopelagitiko: arroz con marisco al estilo de las islas,entrante,Entrantes
2,Dionisos,Entrante,"Hilopites: tagliatelle al estilo griego con tomate, olivada, orégano y queso Feta","7,83 €","hilopites: tagliatelle al estilo griego con tomate, olivada, orégano y queso feta",entrante,Entrantes
3,Dionisos,Plato,"Exohico de pollo: hojaldre griego relleno de cordero, verduras y queso","9,72 €","exohico de pollo: hojaldre griego relleno de cordero, verduras y queso",plato,Pollo
4,Dionisos,Plato,Garides mikrolimano: gambas cocidas al estilo del puerto de Mikrolimano,"13,6 €",garides mikrolimano: gambas cocidas al estilo del puerto de mikrolimano,plato,Marisco
5,Dionisos,Plato,Paidakia de cordero: costillitas de cordero a la parrilla,"12,9 €",paidakia de cordero: costillitas de cordero a la parrilla,plato,Carne
6,Dionisos,Postre,"Baklava: pastel de hojaldre griego con helado de vainilla, sirope de miel y canela","3,78 €","baklava: pastel de hojaldre griego con helado de vainilla, sirope de miel y canela",postre,Postres
7,Dionisos,Postre,"Baklava: pastel de hojaldre griego con helado de vainilla, sirope de miel y canela","4,43 €","baklava: pastel de hojaldre griego con helado de vainilla, sirope de miel y canela",postre,Postres
8,Dionisos,Postre,Karidopita: tarta de chocolate y nueces con helado de anís ouzo y salsa de chocolate,"4,32 €",karidopita: tarta de chocolate y nueces con helado de anís ouzo y salsa de chocolate,postre,Postres
9,Dionisos,seccion_bebidas,Botella de champán,"17,45 €",botella de champán,seccion_bebidas,None
10,Dionisos,seccion_bebidas,Café,"1,2 €",café,seccion_bebidas,None
11,Dionisos,seccion_bebidas,Botella de agua,"1,5 €",botella de agua,seccion_bebidas,None
12,Dionisos,seccion_bebidas,Botella de vino,"6,7 €",botella de vino,seccion_bebidas,None
13,Dionisos,seccion_bebidas,Copa de vino,"2,75 €",copa de vino,seccion_bebidas,None
0,Food Truck,Entrante,Nachos,12 €,nachos,entrante,Entrantes
1,Food Truck,Entrante,Palos de queso,"6,5 €",palos de queso,entrante,Entrantes
2,Food Truck,Entrante,Patata asada,"6,5 €",patata asada,entrante,Entrantes
3,Food Truck,Plato,"Costiburger (250gr de carne de vaca y 250gr de costilla de cerdo, salsabarbacoa, cebolla roja y pepinillo)",12 €,"costiburger (250gr de carne de vaca y 250gr de costilla de cerdo, salsabarbacoa, cebolla roja y pepinillo)",plato,Hamburguesa
4,Food Truck,Plato,"Portobello burger (carne de vaca, champiñon y chedar con cerveza Guinnes)",9 €,"portobello burger (carne de vaca, champiñon y chedar con cerveza guinnes)",plato,Hamburguesa
5,Food Truck,Plato,Phillly Cheesteak,"6,5 €",phillly cheesteak,plato,None
6,Food Truck,Postre,Tarta de zanahoria,4 €,tarta de zanahoria,postre,Postres
7,Food Truck,Postre,Tarta de queso con Nutella,4 €,tarta de queso con nutella,postre,Postres
8,Food Truck,Postre,Tarta de chocolate con cerveza Guinnes,4 €,tarta de chocolate con cerveza guinnes,postre,Postres
9,Food Truck,seccion_bebidas,Café,1 €,café,seccion_bebidas,None
10,Food Truck,seccion_bebidas,Media botella de agua,"1,3 €",media botella de agua,seccion_bebidas,None
0,Gioia Restaurante,Nuestros Entrantes,Uovo Morbido,15 €,uovo morbido,nuestros entrantes,Entrantes
1,Gioia Restaurante,Nuestros Entrantes,Vitel Tuné,15 €,vitel tuné,nuestros entrantes,Entrantes
2,Gioia Restaurante,Nuestros Entrantes,La Nostra Burrata,16 €,la nostra burrata,nuestros entrantes,Entrantes
3,Gioia Restaurante,Nuestros Entrantes,Insalata al Mezzo Astice,19 €,insalata al mezzo astice,nuestros entrantes,Ensalada
4,Gioia Restaurante,Nuestros Entrantes,Il Mio Viaggio sull'Etna,20 €,il mio viaggio sull'etna,nuestros entrantes,Entrantes
5,Gioia Restaurante,Nuestros Entrantes,Assiette Piemontese,25 €,assiette piemontese,nuestros entrantes,Entrantes
6,Gioia Restaurante,Nuestros Entrantes,My Happy Veal,23 €,my happy veal,nuestros entrantes,Entrantes
7,Gioia Restaurante,Nuestras Pastas y Arroces,Tagliolini al Tartufo,23 €,tagliolini al tartufo,nuestras pastas y arroces,Arroces
8,Gioia Restaurante,Nuestras Pastas y Arroces,Agnolotti del Plin,19 €,agnolotti del plin,nuestras pastas y arroces,Arroces
9,Gioia Restaurante,Nuestras Pastas y Arroces,Tortelli di Burrata,21 €,tortelli di burrata,nuestras pastas y arroces,Arroces
10,Gioia Restaurante,Nuestras Pastas y Arroces,Riso e Oro,25 €,riso e oro,nuestras pastas y arroces,Arroces
11,Gioia Restaurante,Nuestras Pastas y Arroces,La Carbonara by Davide Bonato,19 €,la carbonara by davide bonato,nuestras pastas y arroces,Arroces
12,Gioia Restaurante,Nuestras Pastas y Arroces,Pappardelle Ostriche e Porcini,25 €,pappardelle ostriche e porcini,nuestras pastas y arroces,Arroces
13,Gioia Restaurante,Nuestras Pastas y Arroces,Tagliatelle al Ragú Bianco alla Piemontese,18 €,tagliatelle al ragú bianco alla piemontese,nuestras pastas y arroces,Arroces
14,Gioia Restaurante,Nuestros Segundos,Ossobuco alla Piemontese,25 €,ossobuco alla piemontese,nuestros segundos,None
15,Gioia Restaurante,Nuestros Segundos,Filetto,28 €,filetto,nuestros segundos,Carne
16,Gioia Restaurante,Nuestros Segundos,Piccione laccato al Ratafiá,32 €,piccione laccato al ratafiá,nuestros segundos,None
17,Gioia Restaurante,Nuestros Segundos,Wagyu 54,25 €,wagyu 54,nuestros segundos,None
18,Gioia Restaurante,Nuestros Segundos,Tonno Rosso del Mediterráneo,23 €,tonno rosso del mediterráneo,nuestros segundos,None
19,Gioia Restaurante,Nuestros Segundos,Baccalá Nero dell'Alaska,26 €,baccalá nero dell'alaska,nuestros segundos,Pescado
20,Gioia Restaurante,Nuestros Postres,Il nostro Tiramisú,8 €,il nostro tiramisú,nuestros postres,Postres
21,Gioia Restaurante,Nuestros Postres,Semifreddo al Gianduja,8 €,semifreddo al gianduja,nuestros postres,Postres
22,Gioia Restaurante,Nuestros Postres,La Pannacotta,8 €,la pannacotta,nuestros postres,Postres
23,Gioia Restaurante,Nuestros Postres,Bunet,8 €,bunet,nuestros postres,Postres
24,Gioia Restaurante,Nuestros Postres,Il Gelato,7 €,il gelato,nuestros postres,Postres
25,Gioia Restaurante,Nuestros Postres,Il Sorbetto al Mango,7 €,il sorbetto al mango,nuestros postres,Postres
26,Gioia Restaurante,seccion_bebidas,Café,2 €,café,seccion_bebidas,None
27,Gioia Restaurante,seccion_bebidas,Media botella de agua,3 €,media botella de agua,seccion_bebidas,None
28,Gioia Restaurante,seccion_bebidas,Botella de vino,18 €,botella de vino,seccion_bebidas,None
29,Gioia Restaurante,seccion_bebidas,Copa de vino,4 €,copa de vino,seccion_bebidas,None
0,Hamburguesa Nostra,Entrantes,Nachos,"7,9 €",nachos,entrantes,Entrantes
1,Hamburguesa Nostra,Entrantes,Alitas de pollo BBQ,"7,9 €",alitas de pollo bbq,entrantes,Entrantes
2,Hamburguesa Nostra,Entrantes,Delicias de pollo,"7,9 €",delicias de pollo,entrantes,Entrantes
3,Hamburguesa Nostra,Entrantes,Tequeños,"8,5 €",tequeños,entrantes,Entrantes
4,Hamburguesa Nostra,Entrantes,Aros de cebolla,"6,9 €",aros de cebolla,entrantes,Entrantes
5,Hamburguesa Nostra,Entrantes,Combo de entrantes,"12,9 €",combo de entrantes,entrantes,Entrantes
6,Hamburguesa Nostra,Recetas del Chef,Inglesa (Hamburguesa grande + guarnición),"14,9 €",inglesa (hamburguesa grande + guarnición),recetas del chef,Hamburguesa
7,Hamburguesa Nostra,Recetas del Chef,Francesa (Hamburguesa grande + guarnición),"13,9 €",francesa (hamburguesa grande + guarnición),recetas del chef,Hamburguesa
8,Hamburguesa Nostra,Recetas del Chef,Del Chef (Hamburguesa + guarnición),"11,9 €",del chef (hamburguesa + guarnición),recetas del chef,Hamburguesa
9,Hamburguesa Nostra,Recetas del Chef,De pueblo (Hamburguesa + guarnición),"10,9 €",de pueblo (hamburguesa + guarnición),recetas del chef,Hamburguesa
10,Hamburguesa Nostra,Recetas del Chef,Alemana (Hamburguesa grande + guarnición),"12,9 €",alemana (hamburguesa grande + guarnición),recetas del chef,Hamburguesa
11,Hamburguesa Nostra,Recetas del Chef,Buey (Hamburguesa + guarnición),"15,9 €",buey (hamburguesa + guarnición),recetas del chef,Hamburguesa
12,Hamburguesa Nostra,Recetas del Chef,Mexicana (Hamburguesa grande + guarnición),"14,9 €",mexicana (hamburguesa grande + guarnición),recetas del chef,Hamburguesa
13,Hamburguesa Nostra,Recetas del Chef,Trufa (Hamburguesa + guarnición),"12,9 €",trufa (hamburguesa + guarnición),recetas del chef,Hamburguesa
14,Hamburguesa Nostra,Recetas del Chef,Veggie (Hamburguesa + guarnición),"10,9 €",veggie (hamburguesa + guarnición),recetas del chef,Hamburguesa
15,Hamburguesa Nostra,Ensaladas,Ensalada Azteca,"9,5 €",ensalada azteca,ensaladas,Ensalada
16,Hamburguesa Nostra,Ensaladas,Ensalda César,9 €,ensalda césar,ensaladas,Ensalada
17,Hamburguesa Nostra,Ensaladas,Ensalada Genovesa,"9,5 €",ensalada genovesa,ensaladas,Ensalada
18,Hamburguesa Nostra,Platos,Lomo bajo,"17,9 €",lomo bajo,platos,Carne
19,Hamburguesa Nostra,Platos,Pollo barbacoa,"11,9 €",pollo barbacoa,platos,Pollo
20,Hamburguesa Nostra,Postres,Tarta de chocolate,"5,9 €",tarta de chocolate,postres,Postres
21,Hamburguesa Nostra,Postres,Tartar de queso,"5,9 €",tartar de queso,postres,Postres
22,Hamburguesa Nostra,Postres,Brownie,"5,9 €",brownie,postres,Postres
23,Hamburguesa Nostra,Postres,Carrot cake,"5,9 €",carrot cake,postres,Postres
24,Hamburguesa Nostra,Postres,Batidos,"5,9 €",batidos,postres,Postres
25,Hamburguesa Nostra,seccion_bebidas,Café,"1,5 €",café,seccion_bebidas,None
26,Hamburguesa Nostra,seccion_bebidas,Botella de agua,"1,8 €",botella de agua,seccion_bebidas,None
27,Hamburguesa Nostra,seccion_bebidas,Botella de vino,15 €,botella de vino,seccion_bebidas,None
28,Hamburguesa Nostra,seccion_bebidas,Copa de vino,3 €,copa de vino,seccion_bebidas,None
0,Hot Now,Para compartir,Hummus,"7,5 €",hummus,para compartir,De la huerta
1,Hot Now,Para compartir,Guacamole,8 €,guacamole,para compartir,None
2,Hot Now,Para compartir,Tabulé de quinoa,"8,5 €",tabulé de quinoa,para compartir,None
3,Hot Now,Pizzas,Mortadela trufada,"9,5 €",mortadela trufada,pizzas,Pizza
4,Hot Now,Pizzas,Pesto,"11,5 €",pesto,pizzas,Pizza
5,Hot Now,Pizzas,Burrata trufada,"13,5 €",burrata trufada,pizzas,Pizza
6,Hot Now,Postre,Lemonpai,"5,5 €",lemonpai,postre,Postres
7,Hot Now,Postre,Chocolover,"5,5 €",chocolover,postre,Postres
8,Hot Now,Postre,Pizza nutella,7 €,pizza nutella,postre,Postres
9,Hot Now,seccion_bebidas,Café,"1,5 €",café,seccion_bebidas,None
10,Hot Now,seccion_bebidas,Media botella de agua,2 €,media botella de agua,seccion_bebidas,None
11,Hot Now,seccion_bebidas,Botella de vino,17 €,botella de vino,seccion_bebidas,None
12,Hot Now,seccion_bebidas,Copa de vino,3 €,copa de vino,seccion_bebidas,None
0,Izakaya Han,Entrantes,Tartar de Atún con aguacate,"14,5 €",tartar de atún con aguacate,entrantes,Postres
1,Izakaya Han,Entrantes,Tartar de Salmón con aguacate,"13,5 €",tartar de salmón con aguacate,entrantes,Postres
2,Izakaya Han,Entrantes,Misoshiru,"4,5 €",misoshiru,entrantes,Entrantes
3,Izakaya Han,Entrantes,Edamame,"5,5 €",edamame,entrantes,Entrantes
4,Izakaya Han,Entrantes,Tori Gyoza,"7,5 €",tori gyoza,entrantes,Entrantes
5,Izakaya Han,Entrantes,Agedashi Tofu,"7,5 €",agedashi tofu,entrantes,Entrantes
6,Izakaya Han,Entrantes,Ensalada Goma Wakame,"6,5 €",ensalada goma wakame,entrantes,Sopa
7,Izakaya Han,Entrantes,Tako Yaki,8 €,tako yaki,entrantes,Entrantes
8,Izakaya Han,Entrantes,Carpaccio de Dorada,10 €,carpaccio de dorada,entrantes,Entrantes
9,Izakaya Han,Comida Coreana,Kimchi,"4,5 €",kimchi,comida coreana,None
10,Izakaya Han,Comida Coreana,Bulgogi,"12,5 €",bulgogi,comida coreana,None
11,Izakaya Han,Comida Coreana,Tallarines de batata,,tallarines de batata,comida coreana,None
12,Izakaya Han,Comida Coreana,Ohcingoh Bokum,"13,5 €",ohcingoh bokum,comida coreana,None
13,Izakaya Han,Comida Coreana,Yukhoe,16 €,yukhoe,comida coreana,None
14,Izakaya Han,Comida Coreana,Jeyuk Bokkeum,"12,5 €",jeyuk bokkeum,comida coreana,None
15,Izakaya Han,Comida Coreana,Dolsot Bibimbap,"12,5 €",dolsot bibimbap,comida coreana,None
16,Izakaya Han,Comida Coreana,Hoedeopbap,"12,5 €",hoedeopbap,comida coreana,None
17,Izakaya Han,Comida Coreana,Kimchi Jjigae,"12,5 €",kimchi jjigae,comida coreana,None
18,Izakaya Han,Comida Coreana,Dakgangjeong,12 €,dakgangjeong,comida coreana,None
19,Izakaya Han,Comida Coreana,Tofu Kimchi,12 €,tofu kimchi,comida coreana,None
20,Izakaya Han,Comida Coreana,Kimchi Bokeumbap,12 €,kimchi bokeumbap,comida coreana,None
21,Izakaya Han,Comida Coreana,Haemul jeon,12 €,haemul jeon,comida coreana,None
22,Izakaya Han,Tallarines,Udon,"12,5 €",udon,tallarines,None
23,Izakaya Han,Tallarines,Kakiage Udon,"13,5 €",kakiage udon,tallarines,None
24,Izakaya Han,Tallarines,Yaki Soba,"13,5 €",yaki soba,tallarines,None
25,Izakaya Han,Tallarines,Yaki Soba con verdura,12 €,yaki soba con verdura,tallarines,None
26,Izakaya Han,Tallarines,Yaki Soba con ternera,"13,5 €",yaki soba con ternera,tallarines,Carne
27,Izakaya Han,Postres,Helado casero de té verde,"3,5 €",helado casero de té verde,postres,Postres
28,Izakaya Han,Postres,Helado casero de judía roja,4 €,helado casero de judía roja,postres,Postres
29,Izakaya Han,Postres,Helado de sésamo negro,"4,5 €",helado de sésamo negro,postres,Postres
30,Izakaya Han,Postres,Sorbete de Yuzu o con cava,6 €,sorbete de yuzu o con cava,postres,Postres
31,Izakaya Han,Sushi Nigiri,Maguro,6 €,maguro,sushi nigiri,Pescado
32,Izakaya Han,Sushi Nigiri,Toro,"9,5 €",toro,sushi nigiri,Pescado
33,Izakaya Han,Sushi Nigiri,Maki Sushi Set,"13,5 €",maki sushi set,sushi nigiri,Pescado
34,Izakaya Han,Sushi Nigiri,Sushi variado,"15,5 €",sushi variado,sushi nigiri,Pescado
35,Izakaya Han,Sushi Nigiri,Sushi especialidad del chef,22 €,sushi especialidad del chef,sushi nigiri,Pescado
36,Izakaya Han,Sushi Nigiri,Sake,5 €,sake,sushi nigiri,Pescado
37,Izakaya Han,Sushi Nigiri,Hamachi,6 €,hamachi,sushi nigiri,Pescado
38,Izakaya Han,Sushi Nigiri,Pez mantequilla,5 €,pez mantequilla,sushi nigiri,Pescado
39,Izakaya Han,Sushi Nigiri,Kaibasira,6 €,kaibasira,sushi nigiri,Pescado
40,Izakaya Han,Sushi Nigiri,Unagi,"6,5 €",unagi,sushi nigiri,Pescado
41,Izakaya Han,Sushi Nigiri,Langostino / Shrimp,,langostino / shrimp,sushi nigiri,Pescado
42,Izakaya Han,Sushi Nigiri,Gunkan Ikura,"6,5 €",gunkan ikura,sushi nigiri,Pescado
43,Izakaya Han,Sushi Nigiri,Gunkan Negi Toro,7 €,gunkan negi toro,sushi nigiri,Pescado
44,Izakaya Han,Nori Makis,Kappa Maki,5 €,kappa maki,nori makis,None
45,Izakaya Han,Nori Makis,Unagi Maki,"7,5 €",unagi maki,nori makis,None
46,Izakaya Han,Nori Makis,Teka Maki,8 €,teka maki,nori makis,None
47,Izakaya Han,Nori Makis,Sake Hoso Maki,7 €,sake hoso maki,nori makis,None
48,Izakaya Han,Nori Makis,Negitoro,"10,5 €",negitoro,nori makis,None
49,Izakaya Han,Temakis,Atún con aguacate,"7,5 €",atún con aguacate,temakis,None
50,Izakaya Han,Temakis,Salmón con huevas,"6,5 €",salmón con huevas,temakis,Pescado
51,Izakaya Han,Temakis,Anguila con pepino,"7,5 €",anguila con pepino,temakis,Pescado
52,Izakaya Han,Uramakis,California Rolls,12 €,california rolls,uramakis,None
53,Izakaya Han,Uramakis,Spicy Atún Roll,14 €,spicy atún roll,uramakis,None
54,Izakaya Han,Uramakis,Alaska Roll,13 €,alaska roll,uramakis,None
55,Izakaya Han,Uramakis,Philadelphia Roll,"13,5 €",philadelphia roll,uramakis,None
56,Izakaya Han,Uramakis,Ebi fry,"13,5 €",ebi fry,uramakis,None
57,Izakaya Han,Uramakis,Salmón Flambeado Roll,14 €,salmón flambeado roll,uramakis,Pescado
58,Izakaya Han,Uramakis,Dragon Roll Flambeado,"14,5 €",dragon roll flambeado,uramakis,None
59,Izakaya Han,Sashimi,Maguro,"13,5 €",maguro,sashimi,None
60,Izakaya Han,Sashimi,Sake,12 €,sake,sashimi,None
61,Izakaya Han,Sashimi,Maguro y Sake,"13,5 €",maguro y sake,sashimi,None
62,Izakaya Han,Sashimi,Pez mantequilla,12 €,pez mantequilla,sashimi,Pescado
63,Izakaya Han,Sashimi,Sashimi variado,"16,5 €",sashimi variado,sashimi,None
64,Izakaya Han,Sashimi,Sashimi especial del Chef,28 €,sashimi especial del chef,sashimi,None
65,Izakaya Han,Tempuras,Langostino,13 €,langostino,tempuras,None
66,Izakaya Han,Tempuras,Verduras,"12,5 €",verduras,tempuras,None
67,Izakaya Han,Tempuras,Tempura mixta,"14,5 €",tempura mixta,tempuras,None
68,Izakaya Han,Grill,Brocheta de langostino,7 €,brocheta de langostino,grill,None
69,Izakaya Han,Grill,Brocheta de Vieira,"8,5 €",brocheta de vieira,grill,Marisco
70,Izakaya Han,Grill,Yaki Tori,6 €,yaki tori,grill,Pollo
71,Izakaya Han,Arroces,Arroz blanco,"3,5 €",arroz blanco,arroces,Arroces
72,Izakaya Han,Arroces,Sake Don,13 €,sake don,arroces,Arroces
73,Izakaya Han,Arroces,Unagi Don,14 €,unagi don,arroces,Arroces
74,Izakaya Han,seccion_bebidas,Café,2 €,café,seccion_bebidas,None
75,Izakaya Han,seccion_bebidas,Media botella de agua,2 €,media botella de agua,seccion_bebidas,None
76,Izakaya Han,seccion_bebidas,Botella de vino,"13,5 €",botella de vino,seccion_bebidas,None
77,Izakaya Han,seccion_bebidas,Copa de vino,3 €,copa de vino,seccion_bebidas,None
0,Kuoco 360,Uno x Uno,Wonton crujiente,"2,5 €",wonton crujiente,uno x uno,None
1,Kuoco 360,Uno x Uno,OSTRA gillardeau,"4,5 €",ostra gillardeau,uno x uno,Marisco
2,Kuoco 360,Uno x Uno,Dumpling (3 unds),9 €,dumpling (3 unds),uno x uno,None
3,Kuoco 360,Uno x Uno,Croquetas Pekin,"2,5 €",croquetas pekin,uno x uno,Entrantes
4,Kuoco 360,Uno x Uno,Causa Croquette,"2,5 €",causa croquette,uno x uno,None
5,Kuoco 360,Entrantes,7 potencias Asia / Caribe 2.0,17 €,7 potencias asia / caribe 2.0,entrantes,Entrantes
6,Kuoco 360,Entrantes,Hamburguesa panceta ibérica laqueada,10 €,hamburguesa panceta ibérica laqueada,entrantes,Hamburguesa
7,Kuoco 360,Entrantes,Ceviche,18 €,ceviche,entrantes,Entrantes
8,Kuoco 360,Entrantes,Tartar vieira,18 €,tartar vieira,entrantes,Postres
9,Kuoco 360,Entrantes,Steak tartar,18 €,steak tartar,entrantes,Postres
10,Kuoco 360,Entrantes,Pulpo Tikka,19 €,pulpo tikka,entrantes,Entrantes
11,Kuoco 360,Entrantes,Burrathai,16 €,burrathai,entrantes,Entrantes
12,Kuoco 360,Platos,Corvina salvaje,21 €,corvina salvaje,platos,None
13,Kuoco 360,Platos,Carrillera vaca melosa,20 €,carrillera vaca melosa,platos,Carne
14,Kuoco 360,Platos,Presa ibérica,20 €,presa ibérica,platos,Carne
15,Kuoco 360,Platos,Mejillones thai,14 €,mejillones thai,platos,Marisco
16,Kuoco 360,Platos,Pato barbarie al wok,19 €,pato barbarie al wok,platos,None
17,Kuoco 360,Postres,Mango Thai,8 €,mango thai,postres,Postres
18,Kuoco 360,Postres,Plátano brûlée,8 €,plátano brûlée,postres,Postres
19,Kuoco 360,Postres,Fondant,9 €,fondant,postres,Postres
20,Kuoco 360,Aperitivo,Pan de masa madre y aperitivo,"2,5 €",pan de masa madre y aperitivo,aperitivo,None
21,Kuoco 360,seccion_bebidas,Café,"1,9 €",café,seccion_bebidas,None
22,Kuoco 360,seccion_bebidas,Media botella de agua,2 €,media botella de agua,seccion_bebidas,None
23,Kuoco 360,seccion_bebidas,Botella de vino,16 €,botella de vino,seccion_bebidas,None
24,Kuoco 360,seccion_bebidas,Copa de vino,3 €,copa de vino,seccion_bebidas,None
0,La Carmencita,Entrante,Rabas de Santander crujientes,"14,5 €",rabas de santander crujientes,entrante,Entrantes
1,La Carmencita,Entrante,Croquetas de jamón del bueno o de marisquete,"12,5 €",croquetas de jamón del bueno o de marisquete,entrante,Entrantes
2,La Carmencita,Entrante,Anchoas de Laredo de Codesa en aceite de oliva,11 €,anchoas de laredo de codesa en aceite de oliva,entrante,Entrantes
3,La Carmencita,Plato,"Huevos fritos con paletilla, o con chorizo “eco” de la Sierra de Guadarrama, o con morcilla de Burgos.","12,5 €","huevos fritos con paletilla, o con chorizo “eco” de la sierra de guadarrama, o con morcilla de burgos.",plato,None
4,La Carmencita,Plato,"Arroz marinero, seco o caldoso, con arroz de Calasparra, taquitos de calamar, rape, mejillones y almejas","16,5 €","arroz marinero, seco o caldoso, con arroz de calasparra, taquitos de calamar, rape, mejillones y almejas",plato,Sopa
5,La Carmencita,Plato,Merluza del cantábrico con patata panadera crujiente al estilo de Santander,18 €,merluza del cantábrico con patata panadera crujiente al estilo de santander,plato,Pescado
6,La Carmencita,Postre,Arroz con leche con vainilla y toffee salado,"6,25 €",arroz con leche con vainilla y toffee salado,postre,Postres
7,La Carmencita,Postre,Tarta de queso ecológico con base de galleta,"6,25 €",tarta de queso ecológico con base de galleta,postre,Postres
8,La Carmencita,Postre,Tarta de galletas con chocolate,"6,5 €",tarta de galletas con chocolate,postre,Postres
9,La Carmencita,seccion_bebidas,Botella de vino,"15,5 €",botella de vino,seccion_bebidas,None
0,La Trastienda,Mesas,Nuestras mesas son altas y compartidas con más clientes,,nuestras mesas son altas y compartidas con más clientes,mesas,None
1,La Trastienda,Servicio,Servicio de pan y cubiertos,"1,5 €",servicio de pan y cubiertos,servicio,None
2,La Trastienda,Trastapeando Huertas,Tomate de huerto ecológico y ventresca de Barbate,"12,5 €",tomate de huerto ecológico y ventresca de barbate,trastapeando huertas,De la huerta
3,La Trastienda,Trastapeando Huertas,Pimientos de Padrón,"9,5 €",pimientos de padrón,trastapeando huertas,None
4,La Trastienda,Trastapeando Huertas,Alcachofa en flor a la parilla,"13,5 €",alcachofa en flor a la parilla,trastapeando huertas,None
5,La Trastienda,Trastapeando Mar,"Mejillones trigre ""Jo puta""","3,95 €","mejillones trigre ""jo puta""",trastapeando mar,Marisco
6,La Trastienda,Trastapeando Mar,Arroz meloso de Bogavante (precio por persona),25 €,arroz meloso de bogavante (precio por persona),trastapeando mar,Arroces
7,La Trastienda,Trastapeando Mar,Las ostras francesas del Fish Corner (unidad),"3,5 €",las ostras francesas del fish corner (unidad),trastapeando mar,Marisco
8,La Trastienda,Trastapeando Mar,Trilogía de atún rojo de almadraba (Fish Corner),30 €,trilogía de atún rojo de almadraba (fish corner),trastapeando mar,None
9,La Trastienda,Trastapeando Granja,Tiras de pollo de corral con mostaza y miel,"9,9 €",tiras de pollo de corral con mostaza y miel,trastapeando granja,Pollo
