,restaurante,seccion,platos,precios,platos_lower,seccion_lower,Categorias
48,Roostiq,ARROCES Y PAELLAS,Fideuá de marisco,19 €,fideuá de marisco,arroces y paellas,Arroces
49,Roostiq,ARROCES Y PAELLAS,Paella de carabineros,24 €,paella de carabineros,arroces y paellas,Arroces
50,Roostiq,ARROCES Y PAELLAS,Paella de bogavante,23 €,paella de bogavante,arroces y paellas,Arroces
51,Roostiq,YOURSELF (Todos caseros),Flan de queso con sirope de tofe,6 €,flan de queso con sirope de tofe,yourself (todos caseros),Postres
52,Roostiq,YOURSELF (Todos caseros),Tarta Árabe,6 €,tarta árabe,yourself (todos caseros),Postres
53,Roostiq,YOURSELF (Todos caseros),Fruta de temporada,4 €,fruta de temporada,yourself (todos caseros),Postres
54,Roostiq,YOURSELF (Todos caseros),Tarta de dulce de leche con helado de turrón,6 €,tarta de dulce de leche con helado de turrón,yourself (todos caseros),Postres
55,Roostiq,YOURSELF (Todos caseros),Brownie de chocolate con helado de vainilla,6 €,brownie de chocolate con helado de vainilla,yourself (todos caseros),Postres
56,Roostiq,YOURSELF (Todos caseros),Bizcocho templado de chocolate blanco y manzana con helado de leche merengada,6 €,bizcocho templado de chocolate blanco y manzana con helado de leche merengada,yourself (todos caseros),Postres
57,Roostiq,YOURSELF (Todos caseros),Cheesecake con fresas confitadas,6 €,cheesecake con fresas confitadas,yourself (todos caseros),Postres
58,Roostiq,YOURSELF (Todos caseros),Torrija de horchata con helado de vainilla,6 €,torrija de horchata con helado de vainilla,yourself (todos caseros),Postres
59,Roostiq,YOURSELF (Todos caseros),Canelón crujiente de manzana con helado (10 minutos),6 €,canelón crujiente de manzana con helado (10 minutos),yourself (todos caseros),Postres
60,Roostiq,YOURSELF (Todos caseros),Sorbete de mango/limón,5 €,sorbete de mango/limón,yourself (todos caseros),Postres
61,Roostiq,YOURSELF (Todos caseros),Helados,4 €,helados,yourself (todos caseros),Postres
62,Roostiq,seccion_bebidas,Botella de champán,29 €,botella de champán,seccion_bebidas,None
63,Roostiq,seccion_bebidas,Copa de champán,7 €,copa de champán,seccion_bebidas,None
64,Roostiq,seccion_bebidas,Café,"1,5 €",café,seccion_bebidas,None
65,Roostiq,seccion_bebidas,Media botella de agua,"2,5 €",media botella de agua,seccion_bebidas,None
66,Roostiq,seccion_bebidas,Botella de vino,16 €,botella de vino,seccion_bebidas,None
67,Roostiq,seccion_bebidas,Copa de vino,"2,5 €",copa de vino,seccion_bebidas,None
0,San Wich,Entrante,"Ceviche (salmón fresco marinado en limón, cebolleta, cilantro y un toque de ají verde)",9 €,"ceviche (salmón fresco marinado en limón, cebolleta, cilantro y un toque de ají verde)",entrante,Entrantes
1,San Wich,Entrante,Gazpacho de Betagarra (sopa fría de remolacha y manzana servida con queso de cabra y germinados de alfalfa),"4,9 €",gazpacho de betagarra (sopa fría de remolacha y manzana servida con queso de cabra y germinados de alfalfa),entrante,Sopa
2,San Wich,Entrante,"Tomare Relleno (tomate de quinoa, aguacate, maíz y albahaca sobre mezcla de lechugas con aceite de cilantro y ají verde)","5,9 €","tomare relleno (tomate de quinoa, aguacate, maíz y albahaca sobre mezcla de lechugas con aceite de cilantro y ají verde)",entrante,Entrantes
3,San Wich,Plato,"Hamburguesa de presa ibérica (presa aromatizada con trufa, queso Idiázabal, cebolla dorada, rúcula, pesto de tomate seco y aceite de trufa)","15,5 €","hamburguesa de presa ibérica (presa aromatizada con trufa, queso idiázabal, cebolla dorada, rúcula, pesto de tomate seco y aceite de trufa)",plato,Hamburguesa
4,San Wich,Plato,"Sandwich de churrasco italiano (pan de la casa, filete de ternera, tomate, aguacate, mayonesa)","8,5 €","sandwich de churrasco italiano (pan de la casa, filete de ternera, tomate, aguacate, mayonesa)",plato,Carne
5,San Wich,Plato,"As Diplomático (ternera, emmental fundido, champiñones salteados y cebolla caramelizada servido en pan de hot-dog)","6,75 €","as diplomático (ternera, emmental fundido, champiñones salteados y cebolla caramelizada servido en pan de hot-dog)",plato,Carne
6,San Wich,Postre,Alfajores,3 €,alfajores,postre,Postres
7,San Wich,Postre,Vasito de mousse de manjar (dulce de leche),"1,5 €",vasito de mousse de manjar (dulce de leche),postre,Postres
8,San Wich,Postre,Vasito de mote con huesillo,"1,5 €",vasito de mote con huesillo,postre,Postres
9,San Wich,seccion_bebidas,Media botella de agua,"1,7 €",media botella de agua,seccion_bebidas,None
10,San Wich,seccion_bebidas,Copa de vino,"2,5 €",copa de vino,seccion_bebidas,None
0,Sr. Ito,Entrantes,Tartar de Atún con aguacate,"14,5 €",tartar de atún con aguacate,entrantes,Postres
1,Sr. Ito,Entrantes,Tartar de Salmón con aguacate,"13,5 €",tartar de salmón con aguacate,entrantes,Postres
2,Sr. Ito,Entrantes,Misoshiru,"4,5 €",misoshiru,entrantes,Entrantes
3,Sr. Ito,Entrantes,Edamame,"5,5 €",edamame,entrantes,Entrantes
4,Sr. Ito,Entrantes,Tori Gyoza,"7,5 €",tori gyoza,entrantes,Entrantes
5,Sr. Ito,Entrantes,Agedashi Tofu,"7,5 €",agedashi tofu,entrantes,Entrantes
6,Sr. Ito,Entrantes,Ensalada Goma Wakame,"6,5 €",ensalada goma wakame,entrantes,Sopa
7,Sr. Ito,Entrantes,Tako Yaki,8 €,tako yaki,entrantes,Entrantes
8,Sr. Ito,Entrantes,Carpaccio de Dorada,10 €,carpaccio de dorada,entrantes,Entrantes
9,Sr. Ito,Comida Coreana,Kimchi,"4,5 €",kimchi,comida coreana,None
10,Sr. Ito,Comida Coreana,Bulgogi,"12,5 €",bulgogi,comida coreana,None
11,Sr. Ito,Comida Coreana,Tallarines de batata,,tallarines de batata,comida coreana,None
12,Sr. Ito,Comida Coreana,Ohcingoh Bokum,"13,5 €",ohcingoh bokum,comida coreana,None
13,Sr. Ito,Comida Coreana,Yukhoe,16 €,yukhoe,comida coreana,None
14,Sr. Ito,Comida Coreana,Jeyuk Bokkeum,"12,5 €",jeyuk bokkeum,comida coreana,None
15,Sr. Ito,Comida Coreana,Dolsot Bibimbap,"12,5 €",dolsot bibimbap,comida coreana,None
16,Sr. Ito,Comida Coreana,Hoedeopbap,"12,5 €",hoedeopbap,comida coreana,None
17,Sr. Ito,Comida Coreana,Kimchi Jjigae,"12,5 €",kimchi jjigae,comida coreana,None
18,Sr. Ito,Comida Coreana,Dakgangjeong,12 €,dakgangjeong,comida coreana,None
19,Sr. Ito,Comida Coreana,Tofu Kimchi,12 €,tofu kimchi,comida coreana,None
20,Sr. Ito,Comida Coreana,Kimchi Bokeumbap,12 €,kimchi bokeumbap,comida coreana,None
21,Sr. Ito,Comida Coreana,Haemul jeon,12 €,haemul jeon,comida coreana,None
22,Sr. Ito,Tallarines,Udon,"12,5 €",udon,tallarines,None
23,Sr. Ito,Tallarines,Kakiage Udon,"13,5 €",kakiage udon,tallarines,None
24,Sr. Ito,Tallarines,Yaki Soba,"13,5 €",yaki soba,tallarines,None
25,Sr. Ito,Tallarines,Yaki Soba con verdura,12 €,yaki soba con verdura,tallarines,None
26,Sr. Ito,Tallarines,Yaki Soba con ternera,"13,5 €",yaki soba con ternera,tallarines,Carne
27,Sr. Ito,Postres,Helado casero de té verde,"3,5 €",helado casero de té verde,postres,Postres
28,Sr. Ito,Postres,Helado casero de judía roja,4 €,helado casero de judía roja,postres,Postres
29,Sr. Ito,Postres,Helado de sésamo negro,"4,5 €",helado de sésamo negro,postres,Postres
30,Sr. Ito,Postres,Sorbete de Yuzu o con cava,6 €,sorbete de yuzu o con cava,postres,Postres
31,Sr. Ito,Sushi Nigiri,Maguro,6 €,maguro,sushi nigiri,Pescado
32,Sr. Ito,Sushi Nigiri,Toro,"9,5 €",toro,sushi nigiri,Pescado
33,Sr. Ito,Sushi Nigiri,Maki Sushi Set,"13,5 €",maki sushi set,sushi nigiri,Pescado
34,Sr. Ito,Sushi Nigiri,Sushi variado,"15,5 €",sushi variado,sushi nigiri,Pescado
35,Sr. Ito,Sushi Nigiri,Sushi especialidad del chef,22 €,sushi especialidad del chef,sushi nigiri,Pescado
36,Sr. Ito,Sushi Nigiri,Sake,5 €,sake,sushi nigiri,Pescado
37,Sr. Ito,Sushi Nigiri,Hamachi,6 €,hamachi,sushi nigiri,Pescado
38,Sr. Ito,Sushi Nigiri,Pez mantequilla,5 €,pez mantequilla,sushi nigiri,Pescado
39,Sr. Ito,Sushi Nigiri,Kaibasira,6 €,kaibasira,sushi nigiri,Pescado
40,Sr. Ito,Sushi Nigiri,Unagi,"6,5 €",unagi,sushi nigiri,Pescado
41,Sr. Ito,Sushi Nigiri,Langostino / Shrimp,,langostino / shrimp,sushi nigiri,Pescado
42,Sr. Ito,Sushi Nigiri,Gunkan Ikura,"6,5 €",gunkan ikura,sushi nigiri,Pescado
43,Sr. Ito,Sushi Nigiri,Gunkan Negi Toro,7 €,gunkan negi toro,sushi nigiri,Pescado
44,Sr. Ito,Nori Makis,Kappa Maki,5 €,kappa maki,nori makis,None
45,Sr. Ito,Nori Makis,Unagi Maki,"7,5 €",unagi maki,nori makis,None
46,Sr. Ito,Nori Makis,Teka Maki,8 €,teka maki,nori makis,None
47,Sr. Ito,Nori Makis,Sake Hoso Maki,7 €,sake hoso maki,nori makis,None
48,Sr. Ito,Nori Makis,Negitoro,"10,5 €",negitoro,nori makis,None
49,Sr. Ito,Temakis,Atún con aguacate,"7,5 €",atún con aguacate,temakis,None
50,Sr. Ito,Temakis,Salmón con huevas,"6,5 €",salmón con huevas,temakis,Pescado
51,Sr. Ito,Temakis,Anguila con pepino,"7,5 €",anguila con pepino,temakis,Pescado
52,Sr. Ito,Uramakis,California Rolls,12 €,california rolls,uramakis,None
53,Sr. Ito,Uramakis,Spicy Atún Roll,14 €,spicy atún roll,uramakis,None
54,Sr. Ito,Uramakis,Alaska Roll,13 €,alaska roll,uramakis,None
55,Sr. Ito,Uramakis,Philadelphia Roll,"13,5 €",philadelphia roll,uramakis,None
56,Sr. Ito,Uramakis,Ebi fry,"13,5 €",ebi fry,uramakis,None
57,Sr. Ito,Uramakis,Salmón Flambeado Roll,14 €,salmón flambeado roll,uramakis,Pescado
58,Sr. Ito,Uramakis,Dragon Roll Flambeado,"14,5 €",dragon roll flambeado,uramakis,None
59,Sr. Ito,Sashimi,Maguro,"13,5 €",maguro,sashimi,None
60,Sr. Ito,Sashimi,Sake,12 €,sake,sashimi,None
61,Sr. Ito,Sashimi,Maguro y Sake,"13,5 €",maguro y sake,sashimi,None
62,Sr. Ito,Sashimi,Pez mantequilla,12 €,pez mantequilla,sashimi,Pescado
63,Sr. Ito,Sashimi,Sashimi variado,"16,5 €",sashimi variado,sashimi,None
64,Sr. Ito,Sashimi,Sashimi especial del Chef,28 €,sashimi especial del chef,sashimi,None
65,Sr. Ito,Tempuras,Langostino,13 €,langostino,tempuras,None
66,Sr. Ito,Tempuras,Verduras,"12,5 €",verduras,tempuras,None
67,Sr. Ito,Tempuras,Tempura mixta,"14,5 €",tempura mixta,tempuras,None
68,Sr. Ito,Grill,Brocheta de langostino,7 €,brocheta de langostino,grill,None
69,Sr. Ito,Grill,Brocheta de Vieira,"8,5 €",brocheta de vieira,grill,Marisco
70,Sr. Ito,Grill,Yaki Tori,6 €,yaki tori,grill,Pollo
71,Sr. Ito,Arroces,Arroz blanco,"3,5 €",arroz blanco,arroces,Arroces
72,Sr. Ito,Arroces,Sake Don,13 €,sake don,arroces,Arroces
73,Sr. Ito,Arroces,Unagi Don,14 €,unagi don,arroces,Arroces
74,Sr. Ito,seccion_bebidas,Café,2 €,café,seccion_bebidas,None
75,Sr. Ito,seccion_bebidas,Media botella de agua,2 €,media botella de agua,seccion_bebidas,None
76,Sr. Ito,seccion_bebidas,Botella de vino,"13,5 €",botella de vino,seccion_bebidas,None
77,Sr. Ito,seccion_bebidas,Copa de vino,3 €,copa de vino,seccion_bebidas,None
0,Taberna El Buo,ENTRANTES,Huevos rotos de corral,"10,5 €",huevos rotos de corral,entrantes,Entrantes
1,Taberna El Buo,ENTRANTES,Finguer de pollo,10 €,finguer de pollo,entrantes,Entrantes
2,Taberna El Buo,ENTRANTES,Verduras de temporada en tempura,8 €,verduras de temporada en tempura,entrantes,Entrantes
3,Taberna El Buo,ENTRANTES,Carpaccio de ternera,12 €,carpaccio de ternera,entrantes,Entrantes
4,Taberna El Buo,ENTRANTES,Croquetas caseras,10 €,croquetas caseras,entrantes,Entrantes
5,Taberna El Buo,ENTRANTES,Ración de queso,12 €,ración de queso,entrantes,Entrantes
6,Taberna El Buo,ENTRANTES,Ración de jamón de Trévelez,9 €,ración de jamón de trévelez,entrantes,Entrantes
7,Taberna El Buo,ENTRANTES,Tartar de atún,15 €,tartar de atún,entrantes,Postres
8,Taberna El Buo,ENTRANTES,Milhojas de mango y queso de cabra,11 €,milhojas de mango y queso de cabra,entrantes,Entrantes
9,Taberna El Buo,ENTRANTES,Tataki de atún con aguacate en tempura,15 €,tataki de atún con aguacate en tempura,entrantes,Entrantes
10,Taberna El Buo,ENTRANTES,CocaPizza,14 €,cocapizza,entrantes,Pizza
11,Taberna El Buo,ENTRANTES,Alcachofas al Pedro Ximenez,12 €,alcachofas al pedro ximenez,entrantes,Entrantes
12,Taberna El Buo,CREMAS,Sopa de ajo,6 €,sopa de ajo,cremas,Sopa
13,Taberna El Buo,CREMAS,Crema de setas y queso de cabra,"6,5 €",crema de setas y queso de cabra,cremas,None
14,Taberna El Buo,ENSALDADAS,Ensalada Búho,"8,5 €",ensalada búho,ensaldadas,Ensalada
15,Taberna El Buo,ENSALDADAS,Zalamandroña,10 €,zalamandroña,ensaldadas,None
16,Taberna El Buo,ENSALDADAS,Ensalada de vieiras y brotes tiernos,10 €,ensalada de vieiras y brotes tiernos,ensaldadas,Ensalada
17,Taberna El Buo,ENSALDADAS,Capresse,8 €,capresse,ensaldadas,None
18,Taberna El Buo,ENSALDADAS,Ensalada templada de setas y queso de cabra,"9,5 €",ensalada templada de setas y queso de cabra,ensaldadas,Ensalada
19,Taberna El Buo,PESCADOS,Cocochas de bacalao,18 €,cocochas de bacalao,pescados,Pescado
20,Taberna El Buo,PESCADOS,Ceviche de lubina,15 €,ceviche de lubina,pescados,Pescado
21,Taberna El Buo,PESCADOS,Milhojas de atún y pimientos asados,18 €,milhojas de atún y pimientos asados,pescados,Pescado
22,Taberna El Buo,PESCADOS,Salmón marinado,17 €,salmón marinado,pescados,Pescado
23,Taberna El Buo,PESCADOS,Corvina con rissoto de arroz Venere,16 €,corvina con rissoto de arroz venere,pescados,Pescado
24,Taberna El Buo,PESCADOS,Pulpo carolina,18 €,pulpo carolina,pescados,Pescado
25,Taberna El Buo,PESCADOS,Bacalao gratinado con salsa de piquillos,17 €,bacalao gratinado con salsa de piquillos,pescados,Pescado
26,Taberna El Buo,CARNES,Entrecot de ternera D. Origen Ávila,22 €,entrecot de ternera d. origen ávila,carnes,Carne
27,Taberna El Buo,CARNES,Paletilla de cordero al estilo segoviano,24 €,paletilla de cordero al estilo segoviano,carnes,Carne
28,Taberna El Buo,CARNES,Choto al estilo fonelas,18 €,choto al estilo fonelas,carnes,None
29,Taberna El Buo,CARNES,Rabo de toro,18 €,rabo de toro,carnes,Carne
30,Taberna El Buo,CARNES,Solomillo de Ternera,24 €,solomillo de ternera,carnes,Carne
31,Taberna El Buo,CARNES,Molleja al Pedro Ximenez,17 €,molleja al pedro ximenez,carnes,None
32,Taberna El Buo,CARNES,Carrillada,14 €,carrillada,carnes,Carne
33,Taberna El Buo,CARNES,Flamenquín de presa ibérica,16 €,flamenquín de presa ibérica,carnes,Carne
34,Taberna El Buo,CARNES,Rulo de cochinillo confitado con chalotas,24 €,rulo de cochinillo confitado con chalotas,carnes,None
35,Taberna El Buo,PLATOS POR ENCARGO,Sustentos,12 €,sustentos,platos por encargo,None
36,Taberna El Buo,PLATOS POR ENCARGO,Migas,12 €,migas,platos por encargo,None
37,Taberna El Buo,PLATOS POR ENCARGO,Gachas colorás picantes,15 €,gachas colorás picantes,platos por encargo,None
38,Taberna El Buo,POSTRES CASEROS,Postres caseros,"4,5 €",postres caseros,postres caseros,Postres
39,Taberna El Buo,POSTRES CASEROS,Surtido de postres caseros (2 pax),9 €,surtido de postres caseros (2 pax),postres caseros,Postres
40,Taberna El Buo,seccion_bebidas,Botella de champán,10 €,botella de champán,seccion_bebidas,None
41,Taberna El Buo,seccion_bebidas,Café,"1,5 €",café,seccion_bebidas,None
42,Taberna El Buo,seccion_bebidas,Botella de agua,"2,5 €",botella de agua,seccion_bebidas,None
43,Taberna El Buo,seccion_bebidas,Botella de vino,"8,5 €",botella de vino,seccion_bebidas,None
44,Taberna El Buo,seccion_bebidas,Copa de vino,2 €,copa de vino,seccion_bebidas,None
0,Tepic,Ensaladas,Ensalada Tepic,"9,5 €",ensalada tepic,ensaladas,Ensalada
1,Tepic,Ensaladas,Ensalada de nopales,11 €,ensalada de nopales,ensaladas,Ensalada
2,Tepic,Entrante,Flauta de chicharrón de queso,"8,5 €",flauta de chicharrón de queso,entrante,Entrantes
3,Tepic,Entrante,Nuestras quesadillas (trigo o maíz),"8,5 €",nuestras quesadillas (trigo o maíz),entrante,Entrantes
4,Tepic,Entrante,Totopos Tepic,"10,9 €",totopos tepic,entrante,Entrantes
5,Tepic,Entrante,Tostadas de pulpo,"12,9 €",tostadas de pulpo,entrante,Entrantes
6,Tepic,Entrante,Panuchos yucatecos,11 €,panuchos yucatecos,entrante,Entrantes
7,Tepic,Entrante,Aguachile,"16,9 €",aguachile,entrante,Entrantes
8,Tepic,Tacos Típicos,Tampiqueña de solomillo,24 €,tampiqueña de solomillo,tacos típicos,Carne
9,Tepic,Tacos Típicos,Tacos estilo Baja California,"17,5 €",tacos estilo baja california,tacos típicos,None
10,Tepic,Tacos Típicos,Tacos al pastor,"18,5 €",tacos al pastor,tacos típicos,None
11,Tepic,Tacos Típicos,Tacos de camarón al pastor,"19,5 €",tacos de camarón al pastor,tacos típicos,None
12,Tepic,Tacos Típicos,Alambres,18 €,alambres,tacos típicos,None
13,Tepic,Tacos Típicos,Las carnitas,18 €,las carnitas,tacos típicos,None
14,Tepic,Tacos Típicos,Tacos de solomillo,21 €,tacos de solomillo,tacos típicos,Carne
15,Tepic,Tacos Típicos,Tacos de cochinita pibil,"17,5 €",tacos de cochinita pibil,tacos típicos,None
16,Tepic,Tacos con Queso,Tacos Gobernador,"19,9 €",tacos gobernador,tacos con queso,None
17,Tepic,Tacos con Queso,Tacos de chicharrón con queso,22 €,tacos de chicharrón con queso,tacos con queso,None
18,Tepic,Tacos con Queso,Alambre con queso,19 €,alambre con queso,tacos con queso,None
19,Tepic,Tacos para los que no comen carne,Champiñones Tepic,"15,5 €",champiñones tepic,tacos para los que no comen carne,None
20,Tepic,Tacos para los que no comen carne,Nopales,"15,9 €",nopales,tacos para los que no comen carne,None
21,Tepic,Sopas,Consomé de pollo,"16,5 €",consomé de pollo,sopas,Sopa
22,Tepic,Sopas,Sopa de tortilla,"9,5 €",sopa de tortilla,sopas,Sopa
23,Tepic,Para seguir comiendo...,Enchiladas rojas o verdes,"15,5 €",enchiladas rojas o verdes,para seguir comiendo...,None
24,Tepic,Para seguir comiendo...,Enmoladas,"16,5 €",enmoladas,para seguir comiendo...,None
25,Tepic,Postre,Pastel de tres leches,"6,9 €",pastel de tres leches,postre,Postres
26,Tepic,Postre,Crepas de cajeta,"6,9 €",crepas de cajeta,postre,Postres
27,Tepic,Postre,Buñuelos mexicanos con un baño de cajeta y helado de vainilla de papantla,"6,9 €",buñuelos mexicanos con un baño de cajeta y helado de vainilla de papantla,postre,Postres
28,Tepic,Postre,Crepas de chocolate oaxaqueño,"6,9 €",crepas de chocolate oaxaqueño,postre,Postres
29,Tepic,Postre,Pastel de elote con salsa de café de olla,"6,9 €",pastel de elote con salsa de café de olla,postre,Postres
30,Tepic,Postre,Helados artesanales,"6,9 €",helados artesanales,postre,Postres
31,Tepic,seccion_bebidas,Botella de champán,23 €,botella de champán,seccion_bebidas,None
32,Tepic,seccion_bebidas,Café,"2,5 €",café,seccion_bebidas,None
33,Tepic,seccion_bebidas,Botella de agua,5 €,botella de agua,seccion_bebidas,None
34,Tepic,seccion_bebidas,Media botella de agua,"2,5 €",media botella de agua,seccion_bebidas,None
35,Tepic,seccion_bebidas,Botella de vino,20 €,botella de vino,seccion_bebidas,None
36,Tepic,seccion_bebidas,Copa de vino,"3,9 €",copa de vino,seccion_bebidas,None
0,TE CATO,Ensalada,Ensalada de burrata,,ensalada de burrata,ensalada,Ensalada
1,TE CATO,Ensalada,Ensalada parque,,ensalada parque,ensalada,Ensalada
2,TE CATO,Platos chicos,Papas Fritas,,papas fritas,platos chicos,None
3,TE CATO,Platos chicos,Nuggtes de Pollo,,nuggtes de pollo,platos chicos,Pollo
4,TE CATO,Platos chicos,Nuggtes de Coliflor,,nuggtes de coliflor,platos chicos,None
5,TE CATO,Platos chicos,Montaditos,,montaditos,platos chicos,None
6,TE CATO,Platos chicos,Tacos de Lomo,,tacos de lomo,platos chicos,Carne
7,TE CATO,Platos chicos,Buñuelos,,buñuelos,platos chicos,None
8,TE CATO,Platos chicos,Fish and Chips,,fish and chips,platos chicos,None
9,TE CATO,Platos grandes,Pesca del día poche,,pesca del día poche,platos grandes,None
10,TE CATO,Platos grandes,Bondiola braseada,,bondiola braseada,platos grandes,None
11,TE CATO,Platos grandes,Ensalada Parque,,ensalada parque,platos grandes,Ensalada
12,TE CATO,Platos grandes,Salmón,,salmón,platos grandes,Pescado
13,TE CATO,Platos grandes,Hamburguesa clásica,,hamburguesa clásica,platos grandes,Hamburguesa
14,TE CATO,Platos grandes,Hamburguesa Parque,,hamburguesa parque,platos grandes,Hamburguesa
15,TE CATO,Bowls,Curry bowl,,curry bowl,bowls,None
16,TE CATO,Bowls,Pork bowl,,pork bowl,bowls,Carne
17,TE CATO,Entre panes,Hamburguesa parque,,hamburguesa parque,entre panes,Hamburguesa
18,TE CATO,Entre panes,Hamburguesa clásica,,hamburguesa clásica,entre panes,Hamburguesa
19,TE CATO,Entre panes,Hamburguesa humita,,hamburguesa humita,entre panes,Hamburguesa
20,TE CATO,Entre panes,Hamburguesa veggie,,hamburguesa veggie,entre panes,Hamburguesa
21,TE CATO,Entre panes,Wrap parque,,wrap parque,entre panes,None
22,TE CATO,Postres,Cheesecake de oreo,,cheesecake de oreo,postres,Postres
23,TE CATO,Postres,Tibio de manzana,,tibio de manzana,postres,Postres
24,TE CATO,Postres,Torta tres leches,,torta tres leches,postres,Postres
25,TE CATO,Postres,Mousse,,mousse,postres,Postres
0,tuk tuk,Entrante,"Tempura de langostinos servido con salsa de mango picante, cilantro y ensalada de fresas",11 €,"tempura de langostinos servido con salsa de mango picante, cilantro y ensalada de fresas",entrante,Ensalada
1,tuk tuk,Entrante,"Pollo y cebolleta dim sum, servido con condimento tailandés picante al gusto de mango",9 €,"pollo y cebolleta dim sum, servido con condimento tailandés picante al gusto de mango",entrante,Entrantes
2,tuk tuk,Entrante,"Pastel de pescado tailandés de salmón, gamba y lenguado con salsa de curry verde en una cama de champiñones salteados pak choy",12 €,"pastel de pescado tailandés de salmón, gamba y lenguado con salsa de curry verde en una cama de champiñones salteados pak choy",entrante,Postres
3,tuk tuk,Plato,"Pechuga de pato a la parrilla servido con verduras orientales, salsa de pomelo con ensalada asiática",18 €,"pechuga de pato a la parrilla servido con verduras orientales, salsa de pomelo con ensalada asiática",plato,Ensalada
4,tuk tuk,Plato,"Ternera al curry con verduras, anacardos, arroz de jazmín y espinacas frescas",18 €,"ternera al curry con verduras, anacardos, arroz de jazmín y espinacas frescas",plato,Carne
5,tuk tuk,Plato,"Teriyaki de salmón servido con arroz de jazmín, salsa de mango y albaricoque, espinacas salteadas y verduras",18 €,"teriyaki de salmón servido con arroz de jazmín, salsa de mango y albaricoque, espinacas salteadas y verduras",plato,Pescado
6,tuk tuk,Postre,"Plátano asado, envuelto en azúcar de caña, frutas de la pasión y sorbete de mango","6,5 €","plátano asado, envuelto en azúcar de caña, frutas de la pasión y sorbete de mango",postre,Postres
7,tuk tuk,Postre,Fruta de temporada servida con sorbete de menta,"6,5 €",fruta de temporada servida con sorbete de menta,postre,Postres
8,tuk tuk,Postre,Carpaccio de piña aderezado con menta y sorbete de lima,"6,5 €",carpaccio de piña aderezado con menta y sorbete de lima,postre,Postres
9,tuk tuk,seccion_bebidas,Botella de champán,6 €,botella de champán,seccion_bebidas,None
10,tuk tuk,seccion_bebidas,Café,2 €,café,seccion_bebidas,None
11,tuk tuk,seccion_bebidas,Media botella de agua,"2,5 €",media botella de agua,seccion_bebidas,None
12,tuk tuk,seccion_bebidas,Botella de vino,14 €,botella de vino,seccion_bebidas,None
13,tuk tuk,seccion_bebidas,Copa de vino,"3,5 €",copa de vino,seccion_bebidas,None
0,Vides,Entrante,Ajo campero con puntillitas,,ajo campero con puntillitas,entrante,Entrantes
1,Vides,Plato,Solomillo de Cerdo sobre Crema de Boniato con Pasas de Pedro Ximénez,,solomillo de cerdo sobre crema de boniato con pasas de pedro ximénez,plato,Carne
2,Vides,Postre,Tarta de chocolate,,tarta de chocolate,postre,Postres
